id,house,electoral_name,civil_name,party,state,twitter,facebook
5422,senado,MARCOS ROGÉRIO,MARCOS ROGÉRIO,DEM,RO,MarcosRogerio,NA
1023,senado,MARIA DO CARMO ALVES,MARIA DO CARMO ALVES,DEM,SE,MariaSenadora,https://www.facebook.com/mariadocarmo251/
6027,senado,MECIAS DE JESUS,MECIAS DE JESUS,PRB,RR,meciasdejesus,NA
5985,senado,NELSINHO TRAD,NELSINHO TRAD,PSD,MS,nelsinhotrad,https://www.facebook.com/nelsinhotrad/
5525,senado,OMAR AZIZ,OMAR AZIZ,PSD,AM,OmarAzizPSD,NA
5924,senado,ORIOVISTO GUIMARÃES,ORIOVISTO GUIMARÃES,PODE,PR,Sen_Oriovisto,NA
5523,senado,OTTO ALENCAR,OTTO ALENCAR,PSD,BA,ottoalencar,NA
825,senado,PAULO PAIM,PAULO PAIM,PT,RS,paulopaim,NA
374,senado,PAULO ROCHA,PAULO ROCHA,PT,PA,PauloRocha_13,NA
5502,senado,PLÍNIO VALÉRIO,PLÍNIO VALÉRIO,PSDB,AM,PlinioValerio45,NA
5012,senado,RANDOLFE RODRIGUES,RANDOLFE RODRIGUES,REDE,AP,randolfeap,NA
5236,senado,REGUFFE,REGUFFE,S/Partido,DF,Reguffe,NA
70,senado,RENAN CALHEIROS,RENAN CALHEIROS,MDB,AL,renancalheiros,NA
677,senado,ROBERTO ROCHA,ROBERTO ROCHA,PSDB,MA,SigaRoberto_,NA
5905,senado,RODRIGO CUNHA,RODRIGO CUNHA,PSDB,AL,RodrigoCunhaAL,NA
5732,senado,RODRIGO PACHECO,RODRIGO PACHECO,DEM,MG,rpsenador,NA
5352,senado,ROGÉRIO CARVALHO,ROGÉRIO CARVALHO,PT,SE,SenadorRogerio,NA
5322,senado,ROMÁRIO,ROMÁRIO,PODE,RJ,RomarioOnze,NA
2331,senado,ROSE DE FREITAS,ROSE DE FREITAS,PODE,ES,senadorarose,NA
5929,senado,SELMA ARRUDA,SELMA ARRUDA,PSL,MT,SenadoraSelma,NA
4560,senado,SÉRGIO PETECÃO,SÉRGIO PETECÃO,PSD,AC,senadorpetecao,NA
5527,senado,SIMONE TEBET,SIMONE TEBET,MDB,MS,SimoneTebetms,NA
5988,senado,SORAYA THRONICKE,SORAYA THRONICKE,PSL,MS,SorayaThronicke,NA
5959,senado,STYVENSON VALENTIM,STYVENSON VALENTIM,PODE,RN,SenStyvenson,NA
3396,senado,TASSO JEREISSATI,TASSO JEREISSATI,PSDB,CE,tassojereissati,NA
5535,senado,TELMÁRIO MOTA,TELMÁRIO MOTA,PROS,RR,TelmarioMotaRR,NA
5899,senado,VANDERLAN CARDOSO,VANDERLAN CARDOSO,PP,GO,Vanderlan_VC,NA
5748,senado,VENEZIANO VITAL DO RÊGO,VENEZIANO VITAL DO RÊGO,PSB,PB,venezianovital,NA
1173,senado,WELLINGTON FAGUNDES,WELLINGTON FAGUNDES,PR,MT,sen_wellington,NA
5411,senado,WEVERTON,WEVERTON,PDT,MA,wevertonrocha,NA
5783,senado,ZENAIDE MAIA,ZENAIDE MAIA,PROS,RN,zenaidern,NA
3806,senado,ZEQUINHA MARINHO,ZEQUINHA MARINHO,PSC,PA,ZequinhaMarinho,https://www.facebook.com/zequinhamarinhooficial/
